"Document Title","Authors","Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBNs","DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"Legal Reasoning in Answer Set Programming","T. Aravanis; K. Demiris; P. Peppas","Department of Business Administration, University of Patras, Patras, Greece; Department of Business Administration, University of Patras, Patras, Greece; Department of Business Administration, University of Patras, Patras, Greece","2018 IEEE 30th International Conference on Tools with Artificial Intelligence (ICTAI)","16 Dec 2018","2018","","","302","306","Answer Set Programming is a declarative problem solving approach, initially tailored to modelling problems in the area of Knowledge Representation and Reasoning. In this article, we provide a knowledge-based system, capable of representing and reasoning about legal knowledge in the context of Answer Set Programming - thus, modelling non-monotonicity that is inherent in legal arguments. The work, although limited to a specific indicative domain, namely, university regulations, has a variety of extensions. The overall approach constitutes a representative implementation of the Answer Set Programming's modelling methodology, as well as an enhancing of the bond between Artificial Intelligence and Legal Science, bringing us a step closer to a successful development of an automated legal reasoning system for real-world applications.","2375-0197","978-1-5386-7449-9","10.1109/ICTAI.2018.00055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8576053","Legal Reasoning;Answer Set Programming;Knowledge Representation;Artificial Intelligence","Law;Cognition;Programming;Birds;Knowledge based systems","","2","","15","IEEE","16 Dec 2018","","","IEEE","IEEE Conferences"
"Research on Cognitive Mining Method of Ship Formation Behavior Law Based on Knowledge Graph and Fuzzy Association Logic","H. Wang; T. Wang; N. Li; L. Ding; T. Xie","School of Intelligent Systems Engineering, Sun Yat-sen University, Shenzhen, China; School of Intelligent Systems Engineering, Sun Yat-sen University, Shenzhen, China; Beijing Institute of Control and Electronics Technology, Beijing; School of Intelligent Systems Engineering, Sun Yat-sen University, Shenzhen, China; School of Intelligent Systems Engineering, Sun Yat-sen University, Shenzhen, China","2023 China Automation Congress (CAC)","19 Mar 2024","2023","","","8150","8155","With the continuous development of sensor and communication technology, the ability to acquire the situation information of naval battle field has been continuously improved, and the importance of accurately understanding and explaining ship formation behavior for military decision-making has been realized. In order to solve the problem of inaccuracy and delay caused by manual analysis of situation information, this paper aims to explore a cognitive mining method of behavior law based on knowledge graph and fuzzy association logic, so as to deeply recognize and mine the target situation information of ship formation. Firstly, based on knowledge graph construction technology, knowledge extraction, knowledge fusion and knowledge processing, the multi-source data of ship formation is structurally represented, and the knowledge graph including ship formation, interception and interference is constructed. Then, the applicability and effectiveness of the fuzzy logic reasoning method in the mining of ship formation behavior law are analyzed by introducing fuzzy correlation logic. Then we study the effect of knowledge graph and fuzzy association logic reasoning on the mining of behavior rules, including association information introduction and fuzzy rule weighting. Finally, based on this method, the law mining and cognitive architecture of ship formation release behavior in chaff are constructed, including the dynamic updating of cognition and mining process and knowledge graph. It is found that the cognition and mining method based on knowledge graph and fuzzy correlation provides a feasible solution for the cognition and mining of ship formation behavior law.","2688-0938","979-8-3503-0375-9","10.1109/CAC59555.2023.10451507","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10451507","ship formation;behavior rule;knowledge graph;fuzzy logic","Fuzzy logic;Military communication;Correlation;Target recognition;Knowledge graphs;Interference;Manuals","","","","24","IEEE","19 Mar 2024","","","IEEE","IEEE Conferences"
"On direct and indirect probabilistic reasoning in legal proof","H. Prakken","NA","Law, Probability and Risk","18 Jan 2018","2014","13","3-4","327","337","In the academic literature, three approaches to rational legal proof are investigated, broadly speaking based, respectively on Bayesian statistics, on scenario construction and on argumentation. In this article, these approaches are discussed in light of a distinction between direct and indirect probabilistic reasoning. Direct probabilistic reasoning directly reasons from evidence to hypotheses, whereas indirect probabilistic reasoning reasons from hypotheses to evidence (and then back to the hypotheses). While statistical and story-based approaches usually model indirect probabilistic reasoning, argumentation-based approaches usually model direct probabilistic reasoning. It has been suggested that all legal probabilistic reasoning should be indirect, but in this article, it is argued that direct probabilistic reasoning has a rational basis and is, moreover, sometimes easier to perform for judges than indirect probabilistic reasoning. Moreover, direct probabilistic reasoning can be analysed in terms of standard probability theory, resulting in an alternative, non-Bayesian use of the terms ‘prior’ and ‘posterior’ probability and without the need to estimate unconditional probabilities of the hypotheses.","1470-840X","","10.1093/lpr/mgu013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8157950","legal proof;statistics;narrative;argumentation;probabilistic reasoning","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Formal Modeling of Airport Security Regulations using the Focal Environment","D. Delahaye; J. . -F. Etienne; V. V. Donzeau-Gouge","CEDRIC-CNAM, Paris, France; CEDRIC-CNAM, Paris, France; CEDRIC-CNAM, Paris, France","2008 Requirements Engineering and Law","4 Mar 2009","2008","","","16","20","We present the formalization of regulations intended to ensure airport security in the framework of civil aviation. In particular, we describe the formal models of two standards, one at the international level and the other at the European level. These models are expressed using the Focal environment, which is an object-oriented specification and proof system. In addition, we show that these models are correct and complete thanks to the Zenon automated theorem prover, which is the dedicated reasoning support of Focal. Finally, we propose an automatic transformation of Focal specifications to UML class diagrams, in order to provide a graphical documentation of formal models for developers, and in the long-term, for certification authorities.","","978-1-4244-4085-6","10.1109/RELAW.2008.5","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4797468","","Airports;Security;Object oriented modeling;Documentation;Unified modeling language;Certification;Natural languages;Standards organizations;Humans;Automatic control","","","","8","IEEE","4 Mar 2009","","","IEEE","IEEE Conferences"
"Artificial Intelligence using ANN on Legal Regulations in India: A Comprehensive Overview","C. Venkateswarlu; V. V. Ratheesh Kumar; S. A. Begum; P. S. Radha Jayasheela; N. Amutha Lakshmi; J. R. Nithin","School of Law, Vels Institute of Science, Technology and Advanced Studies (VISTAS), Pallavaram, Chennai, Tamil Nadu, India; School of Law, Vels Institute of Science, Technology and Advanced Studies (VISTAS), Pallavaram, Chennai, Tamil Nadu, India; School of Law, Vels Institute of Science, Technology and Advanced Studies (VISTAS), Pallavaram, Chennai, Tamil Nadu, India; School of Law, Vels Institute of Science, Technology and Advanced Studies (VISTAS), Pallavaram, Chennai, Tamil Nadu, India; School of Law, Vels Institute of Science, Technology and Advanced Studies (VISTAS), Pallavaram, Chennai, Tamil Nadu, India; School of Law, Vels Institute of Science, Technology and Advanced Studies (VISTAS), Pallavaram, Chennai, Tamil Nadu, India","2024 2nd International Conference on Advances in Computation, Communication and Information Technology (ICAICCIT)","13 Mar 2025","2024","1","","569","573","Background: More and more artificial intelligence (AI) has lately been applied in many various disciplines, including the legal one, to increase efficiency and decision-making. Objective: This paper looks at how Indian legal laws could be analysed and understood using artificial neural networks (ANN). Great numbers of statutes, precedents, and interpretations define India’s complex legal environment. Conventional manual legal document analysis is sometimes timeconsuming and prone to human error; so, automated methods that can provide more accurate and efficient analysis are much needed. Methodology: We developed a model utilising ANN to manage this challenge by analysing and classifying legal documents depending on their content, context, and application to particular regulatory systems. The method consists in tagged with domain-specific tags training a neural network on a large collection of legal documents comprising statutes, case laws, and legal commentary. Using modern optimisation techniques including dropout regularisation and backpropagation, the ANN model was modified to increase its generalising capacity. According to the results, accuracy and efficiency have greatly raised themselves as compared to more traditional methods. Results and Findings: In determining legal language, the ANN model achieved an accuracy of $\mathbf{9 2. 3 \%}$, a precision of $\mathbf{9 0. 1 \%}$, a recall of 91.7%, and an $F 1$ score of 90.9%. The model also cut the time required for legal document interpretation, by roughly 45% as compared to traditional methods. Conclusion: These findings demonstrate how fast and consistently artificial intelligence can grasp legal texts, hence transforming legal analysis and regulatory compliance in India.","","979-8-3315-4121-7","10.1109/ICAICCIT64383.2024.10912260","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10912260","Artificial Neural Networks;Legal Analysis;Indian Regulations;AI in Law;Text Classification;Machine Learning","Training;Analytical models;Accuracy;Recurrent neural networks;Law;Text categorization;Artificial neural networks;Regulation;Artificial intelligence;Pragmatics","","","","15","IEEE","13 Mar 2025","","","IEEE","IEEE Conferences"
"Semantic web representations for reasoning about applicability and satisfiability of federal regulations for information security","S. Mandal; R. Gandhi; H. Siy","University of Nebraska at Omaha, Omaha, USA; University of Nebraska at Omaha, Omaha, USA; University of Nebraska at Omaha, Omaha, USA","2015 IEEE Eighth International Workshop on Requirements Engineering and Law (RELAW)","19 Nov 2015","2015","","","1","9","In this paper, the Nomos 2 framework for modeling law-compliant solutions in software system design is applied in the context of the Federal Information Security Modernization Act (FISMA) of 2014. Information security regulatory statements with a high variability space are examined to explore the utility and limits of the Nomos 2 framework for information security regulations. Additionally, Nomos 2 concepts are modeled in a semantic web representation for reasoning about the applicability and satisfiablity of FISMA regulations for information systems. The use of freely available semantic web toolsets for knowledge modeling and reasoning are demonstrated in an example scenario requiring the determination of FISMA related authorities and functions.","","978-1-5090-0104-0","10.1109/RELAW.2015.7330205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7330205","Nomos 2;OWL;SWRL;automated reasoning;formal model;information security;applicability;satisfiability;FISMA;law variability;semantic web","Law;Unified modeling language;Cognition;Information security;Semantic Web","","2","","25","IEEE","19 Nov 2015","","","IEEE","IEEE Conferences"
"Optimization of Natural Language Processing Models for Multilingual Legal Document Analysis","A. Radhika; N. K. Bhasin; S. R; Y. R. Raju; K. N. V. Satyanarayana; I. I. Raj","Department of CSE, SRK Institute of Technology, Vijayawada, lndia; Amity University, Zonal Head Indian Institute of Banking and Finance, Delhi, India; Academic Training, Skill Development & Employability Programs, Fortuna Business Solutions(R&D), Coimbatore, India; Department Of Computer Science &Technology, Madanapalle Institute of Technology & Science, Madanapalle, Andhra Pradesh, India; Department of ECE, S.R.K.R. Engineering College, China amiram bhimavaram, A.P, India; Department of computer science & Engineering, K.Ramakrishnan college of Engineering, Trichy, Tamil Nadu, India","2024 Third International Conference on Intelligent Techniques in Control, Optimization and Signal Processing (INCOS)","16 May 2024","2024","","","1","6","Multilingual legal document analysis poses unique challenges in the field of Natural Language Processing (NLP) due to the intricacies of legal language and the diverse linguistic landscape of legal texts across jurisdictions. This paper presents an optimization framework designed to enhance the performance of NLP models specifically tailored for multilingual legal document analysis. The proposed framework incorporates advanced techniques in pre-processing, feature engineering, and model architecture to address the complexities inherent in legal language. Leveraging multilingual embeddings and domain-specific knowledge, the model demonstrates improved accuracy in tasks such as named entity recognition, sentiment analysis, and document categorization across a range of languages. Additionally, the optimization framework emphasizes the importance of domain adaptation, acknowledging the nuances and variations in legal terminology across different legal systems. Through a combination of transfer learning and fine-tuning strategies, the model adapts to specific legal domains, ensuring robust performance in diverse legal contexts. Experimental results on a comprehensive dataset of multilingual legal documents validate the effectiveness of the proposed optimization framework. Comparative analyses with baseline models showcase significant improvements in precision, recall, and overall model performance. The findings underscore the potential of the optimized NLP model for applications in legal information retrieval, contract analysis, and legal knowledge management in a multilingual context. This research contributes to the growing body of knowledge in NLP and legal informatics, offering a valuable resource for researchers, practitioners, and developers working on multilingual legal document analysis. The optimized model presented in this paper has the potential to enhance the efficiency and accuracy of automated systems in handling legal texts across diverse linguistic environments.","","979-8-3503-6118-6","10.1109/INCOS59338.2024.10527598","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10527598","Natural Language Processing (NLP);Multilingual Legal Document Analysis;Document Categorization;Transformer-based Models;BERT","Analytical models;Adaptation models;Text analysis;Law;Terminology;Transfer learning;Linguistics","","1","","16","IEEE","16 May 2024","","","IEEE","IEEE Conferences"
"A contribution to indexing in legal information retrieval","J. Legrand","Deépartement Informatique, Université Paris II, Paris, France","Database and Expert Systems Applications. 8th International Conference, DEXA '97. Proceedings","6 Aug 2002","1997","","","213","218","Ongoing research in information retrieval offers new approaches, demonstrating that the traditional methods may have reached their limitations. In fact, actual results to date have shown that advanced systems will demonstrate effectiveness at combining multiple text and user need representations. The paper suggests supplementing the traditional conceptual abstracts with a syntactical description designed to improve retrieval performance. This choice is carefully motivated and examples are given. Without attempting to reason about the document contents, a domain specific knowledge representation is used to form clusters of concepts. The point is to represent the joint structure of the component concepts involved in a composite concept. This approach extends the reach of key concept assignment to: interactive query elicitation; multiword phrase search; finer grained thesaurus relationships. The paper emphasizes that intellectual assignment of features is part of an artificial intelligence approach to information retrieval. The principles of implementation are also described.","","0-8186-8147-0","10.1109/DEXA.1997.617272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=617272","","Indexing;Law;Legal factors;Information retrieval;Abstracts;Artificial intelligence;Knowledge representation;Thesauri;Search engines;User interfaces","","","1","15","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Legal knowledge representation using the resource description framework (RDF)","M. P. Ebenhoch","NA","12th International Workshop on Database and Expert Systems Applications","7 Aug 2002","2001","","","369","373","The overwhelming amount of information available on the Internet created a need for electronic methods to sort and classify legal information. Many standards and features based on XML have emerged which make it possible to reuse former categorisation methods common in library science. One of them is RDF. As there has always been an interaction between legal documentation and the technical means available for this task, the paper examines the possibility of using RDF for representing legal knowledge. It is derived from the commercial publishing project Legalo, initiated by epico Informationssysteme GmbH. This was set up as a legal information site on the Internet. It incorporates huge amounts of heterogenous legal data, including bills, decisions, Internet-links, contributions of authors etc. The article explores the advantage of this approach and some further steps towards the automated assembling of legal topics into ""legal information packages"" in relation to the user needs and inputs.","","0-7695-1230-5","10.1109/DEXA.2001.953089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=953089","","Law;Legal factors;Knowledge representation;Internet;Resource description framework;XML;Libraries;Documentation;Publishing;Assembly","","3","4","9","IEEE","7 Aug 2002","","","IEEE","IEEE Conferences"
"Coping with Moore's Law (and more): Supporting arrays in state-of-the-art model checkers","J. Baumgartner; M. Case; H. Mony","IBM Systems and Technology Group, USA; IBM Systems and Technology Group, USA; IBM Systems and Technology Group, USA","Formal Methods in Computer Aided Design","19 May 2011","2010","","","61","69","State-of-the-art hardware model checkers and equivalence checkers rely upon a diversity of synergistic algorithms to achieve adequate scalability and automation. While higher-level decision procedures have enhanced capacity for problems of amenable syntax, little prior work has addressed (1) the generalization of many critical synergistic algorithms beyond bit-blasted representations, nor (2) the issue of bridging higher-level techniques to problems of complex circuit-accurate syntax. In this paper, we extend a variety of bit-level algorithms to designs with memory arrays, and introduce techniques to rewrite arrays from circuit-accurate to verification-amenable behavioral syntax. These extensions have numerous motivations, from scaling formal methods to verify ever-growing design components, to enabling hardware model checkers to reason about software-like systems, to allowing state-of-the-art model checkers to support temporally-consistent function- and predicate-abstraction.","","978-0-9835678-0-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5770934","","Arrays;Logic gates;Logic arrays;Redundancy;Pins;Cognition;Data models","","","","23","","19 May 2011","","","IEEE","IEEE Conferences"
