Source;DOI;Url;Title;Year;Author;Abstract;First Round Decision;First Round Reason;Exclusion Criteria;Second Round Decision;Second Round Notes;Argumentation;Case Focus (Common Law);Statutes focus (Civil Law);Is Ontology;Formalization (Type of Logic);Reacts To Changes in the law;Mentions Conversion;Level of Automation on Creation;Human Understandability;Level of Involvment by legal practitioners in the creation of the methodology;BPC mentioned;Purpose;Demonstrated in Domain (This does not preclude genearl applicability);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RE59067.2024.00013;;Defining a Model for Content Requirements from the Law: An Experience Report;2024;"Ceci, Marcello; Bianculli, Domenico; Briand, Lionel C.";This paper reports on the experience of building a content model in collaboration with a national financial supervisory authority, with the goal of automating the compliance checking activity performed by the agents of the supervisory authority on fund documentation. The work is focused on modelling content requirements found in the law, i.e., deontic rules prescribing that some information is contained in an official document. For such requirements, the main modelling effort revolves around the required content and its information types. We therefore designed a process to build a content model, elaborating design criteria for the model which partly depend on the use case encompassing compliance checking. We built the content model through iterative interactions between a knowledge engineer and domain experts designed to ensure that the model is not limited to representing only the letter of the law, but rather represents the relevant distinctions in the practice of compliance checking. We drew lessons learned regarding the need for setting up classification criteria for information types and handling the trade-off between expressivity and maintainability of the model.;Yes;;;Yes;;No;No;Yes;Non-formal;Non-formal;No;No;Manual;Not optimized;Yes (collab with national financial supervisory authority;No (not process, rather document checking);Compliance;Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RE59067.2024.00051;;Rethinking Legal Compliance Automation: Opportunities with Large Language Models;2024;"Hassani, Shabnam; Sabetzadeh, Mehrdad; Amyot, Daniel; Liao, Jain";As software-intensive systems face growing pressure to comply with laws and regulations, providing automated support for compliance analysis has become paramount. Despite advances in the Requirements Engineering (RE) community on legal compliance analysis, important obstacles remain in developing accurate and generalizable compliance automation solutions. This paper highlights some observed limitations of current approaches and examines how adopting new automation strategies that leverage Large Language Models (LLMs) can help address these shortcomings and open up fresh opportunities. Specifically, we argue that the examination of (textual) legal artifacts should, first, employ a broader context than sentences, which have widely been used as the units of analysis in past research. Second, the mode of analysis with legal artifacts needs to shift from classification and information extraction to more end-to-end strategies that are not only accurate but also capable of providing explanation and justification. We present a compliance analysis approach designed to address these limitations. We further outline our evaluation plan for the approach and provide preliminary evaluation results based on data processing agreements (DPAs) that must comply with the General Data Protection Regulation (GDPR). Our initial findings suggest that our approach yields substantial accuracy improvements and, at the same time, provides justification for compliance decisions.;Yes;;;No;No actual intermediate law representation besides the original text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/ICCAC.2015.24;;An Autonomic Legal-Rule Aware Cloud Service Broker;2015;Casalicchio, Emiliano;The ICT industry, and specifically critical sectors such as healthcare, transportation, energy and government require as mandatory the compliance of the ICT systems and services with legislation and regulation, as well as with standards. In the era of cloud computing, and particularly in a public cloud scenario, this law and regulation compliance management issue is exacerbated by the distributed nature of the system and by the limited control of the customer on the infrastructure/services. Also if the cloud industry is aware of this legislation/regulation compliance issue (e.g. the compliance program of Amazon, Google and Microsoft Azure), right now, there are no mechanism/architectures capable to check and to assure that the compliance is guaranteed during the whole life cycle of a cloud service, off-line and at run-time. In this paper we outline a reference architecture for the autonomic and legislation-aware cloud service broker and we propose a run-time linear programming based model that consider legal constraints and that perform service adaptation for the assurance of QoS and legal rule compliance.;Yes;;;Yes;;No;No;Yes;No;Custom;Yes;No;Manual;Not optimized;No;No (service compliance);Compliance;Software Development / Cloud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/ESPRE51200.2020.00007;;Towards Variability-Aware Legal-GRL Framework for Modeling Compliance Requirements;2020;"Sartoli, Sara; Ghanavati, Sepideh; Siami Namin, Akbar";The increasing adoption of cloud computing is making operating environments highly dynamic and changing. Once an operating environment condition (e.g., geographical location of data) changes, the compliance requirements might alsochange. To ensure that compliance requirements are continuouslymet, there is a need for frameworks that not only support modeling regulations, but also capture the potential environment variabilities and conditions in a systematic way. This paper introduces Variability-Aware Legal-GRL (Goal-oriented Requirements Language) framework for modeling compliance requirements in the presence of runtime changes. We extend the Goal-oriented Requirements Language (GRL) with new elements and model construction rules to model context-aware privacy policies for dynamic multi-jurisdictional domains as well as features for monitoring changes that trigger adaptation. We motivate and illustrate the proposed framework using Health Insurance Portability and Accountability Act (HIPAA) and Personal Health Information Protection Act (PHIPA) statements. The proposed modeling framework allows software engineers to automatically quantify and analyze satisfaction level of security and privacy related top level goals for multiple software design alternatives and thus, choose the best set of privacy measures.;Yes;;;Yes;;No;No;Yes;No;Legal-GRL, extension of GRL;Yes;From Hohfeldian model;Manual;Not optimized;No;Yes;Compliance;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/ACCESS.2024.3512434;;Human-in-the-Loop Learning With LLMs for Efficient RASE Tagging in Building Compliance Regulations;2024;"Al-Turki, Dhoyazan; Hettiarachchi, Hansi; Medhat Gaber, Mohamed; Abdelsamea, Mohammed M.; Basurra, Shadi; Iranmanesh, Sima; Saadany, Hadeel; Vakaj, Edlira";Automated compliance checking (ACC) in the Architecture, Engineering, and Construction (AEC) sector represents a pivotal task which is traditionally executed manually, demanding significant time and labor. This work investigates the automation of the Requirement, Applicability, Selection, and Exception (RASE) methodology for building regulatory compliance through the utilization of Large Language Models (LLMs) and active learning techniques. Specifically, we focus on the development and assessment of a system using the OpenAI GPT-4o model to transmute building regulation texts into structured YAML formats conducive to ACC processes. The study encompasses three experimental paradigms: few-shot learning, fine-tuning learning, and progressive active learning. Initial results from the few-shot learning experiment illustrate the model’s preliminary ability to interpret and process regulatory texts with limited examples. Fine-tuning enhances model performance by training it on a specialized dataset, thereby improving structural and textual accuracy. Progressive active learning, by iteratively incorporating expert feedback, further refines the accuracy of the model. The findings demonstrate substantial enhancements in both structural and semantic accuracies of the generated YAML files, underscoring the potential of integrating LLMs with active learning to streamline regulatory compliance automation. The methodologies and results presented here offer a comprehensive framework for advancing future research and practical applications in the domain of automated regulatory compliance.;Yes;;;Yes;;No;No;Yes;No;Building Compliance Rule Language (BCRL) - Markup with first order logic;No;To ACC (domain specific language);Automatic;Not optimized, but mentioned;No;No;Building design safety;Construction / Architecture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/REW.2016.048;;Argumentation-Based Legal Requirements Engineering: The Role of Legal Interpretation in Requirements Acquisition;2016;"Muthuri, Robert; Boella, Guido; Hulstijn, Joris; Humphreys, Llio";The elicitation of legal requirements is more complex than the analysis of relevant legislation, subsidiary regulations or industrial standards. This paper aims to start bridging the efforts in legal informatics with those of legal requirements engineering towards effective legal requirements acquisition. The paper traces the steps involved in the interpretive process to illustrate how legal interpretation may affect the acquisition and specification of legal requirements for a given system. We apply informal logic to bridge the gap between the principles of interpretation in legal theory with the legal rules that determine compliance of business processes. We specifically apply argumentation schemes to characterize interpretive arguments which are then applied to business processes represented using value modelling. Other argumentation schemes are also applied to help generate the foregoing arguments and give structure to the interpretive process generally.;Yes;Might also be valuable for discussion;;No;Too focused on requirements elicitation, not LIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RE.2006.68;;Towards Regulatory Compliance: Extracting Rights and Obligations to Align Requirements with Regulations;2006;"Breaux, Travis D.; Vail, Matthew W.; Anton, Annie I.";In the United States, federal and state regulations prescribe stakeholder rights and obligations that must be satisfied by the requirements for software systems. These regulations are typically wrought with ambiguities, making the process of deriving system requirements ad hoc and error prone. In highly regulated domains such as healthcare, there is a need for more comprehensive standards that can be used to assure that system requirements conform to regulations. To address this need, we expound upon a process called semantic parameterization previously used to derive rights and obligations from privacy goals. In this work, we apply the process to the privacy rule from the U.S. Health Insurance Portability and Accountability Act (HIPAA). We present our methodology for extracting and prioritizing rights and obligations from regulations and show how semantic models can be used to clarify ambiguities through focused elicitation and to balance rights with obligations. The results of our analysis can aid requirements engineers, standards organizations, compliance officers, and stakeholders in assuring systems conform to policy and satisfy requirements;Yes;;;Yes;;No;No;Yes;No;"semantic models (patterns, Knowledge
Transformation Language)";No;No;mostly manual with tool support;Not optimized;No;No;Requirements Alignment;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/ICMLCA63499.2024.10754395;;Adchat-TVQA: Innovative Application of LLMs-Based Text-Visual Question Answering Method in Advertising Legal Compliance Review;2024;"Gao, Ruiling; Hou, Yingqi; Tang, Weijie; Zhang, Jin; Hu, Yanbo; Huang, Haiyun; Tan, Wen'an; Li, Liping";Advertising legal compliance reviews have always been time-consuming and labor-intensive, and existing Large Language Models(LLMs) are far worse performing than senior industry experts. In this paper, we propose a novel LLMs-based text-visual question answering method called Adchat-TVQA for advertising legal compliance review. After reading an advertising image and the corresponding review question, it will first understand the content on the image through multimodal learning, then optimize the question with Zero-Shot Chain-of-Thought (CoT) prompting method based on predefined industry expert experience, and finally input the augmented question into the large language model for inquiry. The feasibility of this method is verified through system prototype implementation and end-to-end functional tests. In addition, we summarized the characteristics of advertising images and added image segmentation and text box transpose to the data processing process for system performance improvement. Performance testing of the text visual cognitive question task on the AIWIN2021 dataset shows that the method scores higher than Microsoft's LayoutLM, with an increasement of the score from 51.52% to 52.74%.;Yes;This is an expert support system / QA system so a bit out of the ordinary;;No;No actual representation of law;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/SmartTechCon.2017.8358512;;Implementing interchange of legal data under information system using a subset by deriving on the form of akoma ntosa in context of right to information by encoding application and appeal;2017;"Kumar Singh, Manoj; Mishra, Anuranjan";Our law enforcing system called as Indian Legal System is lacking in terms of computerisation intelligent enough to enable law open for everybody. We are moving towards Digital India in all spheres of activity. In our country majority of people are not aware of the law of the land. AKOMA-NTOSO is an international technical standard for representing judiciary documents in addition to executive & legislative in a structured manner. We can call it XML vocabulary on law and it suggests also a convention of giving name for providing unique identifier to legal sources based on FRBR mode. There is no effort has been made to create standard representation of law in India. The subject matter of the paper goes into detail of creation of standard representation of parts of RTI Act 2005 for its implementation under a given circumstances. The process model of second appeal was undertaken. It was found that majority of RTI appeals at CIC are returned only for the reason that rule 8 and 9 of the RTI Act has not been fulfilled. The study captured the process of filing second appeal and created a schema of representation of various components and system prototype to check the compliance before accepting second appeal. The schema was created using subset of AKOMA-NTOSO schema, XML & HTML standard. The result shows that quality of services are improved by eighty percent(80%) and it has the potential to augment the way to create schema for entire RTI ACT. There are challenges associated with complexities in judicial system and quality of encoding of law on the basis of schema created and development of system to act accordingly. The study provided evidence that data on law can be interchanged among various system with semantic and technical interpretability.;Yes;More of a use case so not 100% sure;;Yes;;No;No;Yes;No;Akoma Ntoso;No;No;manual;not optimized;No;No;formalization;Indian appeal law;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/CBI.2017.1;;The Conjoint Modeling of Value Networks and Regulations of Smart Grid Platforms: A Luxembourg Case Study;2017;"Razo-Zapata, Iván S.; Ma, Qin; Kaczmarek-Heß, Monika; de Kinderen, Sybren";The liberalization and digitalization of the energy sector have given rise to smart grid platforms, whereby energy and information flow in multiple directions and a diverse set of actors add value to the platform. To foster understanding of a smart grid value network, in terms of the involved actors and the value they exchange, conceptual value modeling techniques have been successfully used. However, value modeling is agnostic to the reasons behind a particular value network configuration. Thus, it is not able to capture an important aspect that determines the configuration of a smart grid value network, namely regulations. In this paper, we complement value modeling with the goal-driven modeling of regulations. As such, we take a first step towards showing compliance between value networks and the regulations behind it. We illustrate our approach with a scenario of producing and consuming green electricity in Luxembourg.;Yes;Not 100% I understood the paper;;Yes;;No;No;Yes;No;Goal Requirements Language (GRL);No;No;manual;GRL is supposed to be human understandable;Yes;No;Compliance;Electricity Market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RE.2013.6636760;;The regulatory world and the machine: Harmonizing legal requirements and the systems they affect;2013;Gordon, David G.;The past decade has seen a substantial increase in the issuance of privacy and security regulations governing personal information. Ensuring system and organizational compliance is both more important and more difficult than ever before, as the penalties have become more severe, and regulations more complex and nuanced. This also presents substantial difficulties for multi-national companies, as different states, countries, or regions do not adhere to a uniform standard, resulting in a mixed set of regulations for the systems they govern. In this work, I describe a framework to address this issue, referred to as requirements water marking, wherein requirements from different jurisdictions that govern the same system may be evaluated and reduced to a single standard of care, establishing a “high water mark” for regulatory compliance and reducing requirements complexity. The framework, which draws on work in requirements specification languages and requirements comparison, allows engineers and legal experts to systematically simplify compliance and determine both high and low standards of care, while maintaining traceability back to the original legal text. In addition, I investigate the proposed value of legal requirements models, demonstrating the relationship between proposed value of these models to organizational decision-making and the validity of the model.;Yes;;;No;Uses LIR (LRSL) but does not really focus on it;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/LISAT.2015.7160190;;Extending XACML to express and enforce laws and regulations privacy policies;2015;"Alshugran, Tariq; Dichter, Julius; Rusu, Amalia";Some software applications are developed to collect, store, and manage users' personal, medical, or financial information. In the United States, such applications are required to preserve users' privacy and to be compliant with the federal privacy laws and regulations. To formally guarantee compliance with federal regulations, it is necessary to express the privacy rules enforced by those regulations in a standard policy specification language. In this work we evaluate the eXtensible Access Control Model Language (XACML) as a formal specification language for privacy laws and regulations. Furthermore, we evaluate XACML features and attributes to extend it in order to enforce those privacy rules.;Yes;Use case, so maybe not;;Yes;;No;No;Yes;No;Xtensible Access Control Model Language (XACML);No;No;tool supported;Not optimized;Yes;No;Access Control;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RE.2009.21;;Developing Production Rule Models to Aid in Acquiring Requirements from Legal Texts;2009;"Maxwell, Jeremy C.; Anton, Annie I.";Regulatory compliance is an important consideration for requirements engineering because recent regulations impose costly penalties for noncompliance. This paper details how developing production rule models can aid in acquiring software requirements from regulatory texts. Production rules enable requirements engineers to gain valuable domain knowledge of a particular legal text by providing the ability to receive precise answers to a specific query. In particular, a production rule model facilitates communication between requirements engineers and legal domain experts, supports and augments requirements elicitation, and resolves ambiguity. Prior work in this area has failed to detail a precise methodology for translating a legal text into production rules, and considered using production rule models for aiding requirements elicitation and validation. This paper introduces our production rule modeling methodology, and demonstrates this methodology using examples from a production rule model for four sections of the U.S. Heath Insurance Portability and Accountability Act (HIPAA).;Yes;;;Yes;;No;No;Yes;No;Prolog;Tracebility is given but not automatically;No;Manual;Not optimized;No (future work);No;Compliance;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/ARES.2008.79;;Annotating Regulations Using Cerno: An Application to Italian Documents - Extended Abstract;2008;"Zeni, Nicola; Kiyavitskaya, Nadzeya; Cordy, James R.; Mich, Luisa; Mylopoulos, John";The increasing complexity of software systems and growing demand for regulations compliance require effective methods and tools to support requirements analysts activities. Internationalization of information systems due to both economics and Web based architectures call for the application of regulations written in different languages. Thus far existing approaches for extracting rights and obligations have concentrated on English documents. In this paper, we describe the results of the application of Cerno, a lightweight framework for semantic annotation, to legal documents written in Italian. In addition, we investigate critical issues for semantic annotation tools in a different cultural and environmental context. Results obtained, while preliminary, allow us to quantify the effort needed to port tools based on Cerno and give some insight on directions of future development of a multilingual system to support semantic annotation of regulations not only in different domains, but also written in different languages.;Yes;Extended Abstract?;;Yes;;No;No;Yes;No;First order predicate logic;No;Just from semi-formal rights or oblications to first-order predicate logic;;Not optimized;No;Yes;Compliance;multinational e-procurement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RELAW.2012.6347801;;Measurement-oriented comparison of multiple regulations with GRL;2012;"Rifaut, André; Ghanavati, Sepideh";In recent years, intentional models have been adapted to capture and analyze compliance needs and requirements. Furthermore, intentional models have been used to identify the impact of regulations on organizational goals by helping to elicit different alternatives about the business operations supported by compliant business processes and services. In other works, intentional models based on measurement-frameworks have provided well-structured models of regulations and compliance alternatives. This paper integrates Goal-Oriented Requirements Language (GRL)-based methodologies with measurement-based methodologies to improve support for comparing regulations sharing the same concerns via the (measurement) objectivity.;Yes;;;Yes;;No;No;Yes;No;"Goal Requirements Language (GRL); GRLaw extension: classification of requirements based on Hohfeldian";;No;manual;Not optimized;No;Yes;Compliance;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
